12, 12, 12, #0c0c0c
197, 15, 31, #c50f1f
19, 161, 14, #13a10e
193, 156, 0, #c19c00
0, 55, 218, #0037da
136, 23, 152, #881798
58, 150, 221, #3a96dd
204, 204, 204, #cccccc
118, 118, 118, #767676
231, 72, 86, #e74856
22, 198, 12, #16c60c
249, 241, 165, #f9f1a5
59, 120, 255, #3b78ff
180, 0, 158, #b4009e
97, 214, 214, #61d6d6
242, 242, 242, #f2f2f2

,,,usefull ones
Contrast 17.47:, FG #f2f2f2, on, BG #0c0c0c
Contrast 16.91:, FG #f9f1a5, on, BG #0c0c0c
Contrast 12.18:, FG #cccccc, on, BG #0c0c0c
Contrast 11.27:, FG #61d6d6, on, BG #0c0c0c
Contrast 8.49:, FG #16c60c, on, BG #0c0c0c
Contrast 7.47:, FG #c19c00, on, BG #0c0c0c
Contrast 6.14:, FG #3a96dd, on, BG #0c0c0c
Contrast 5.71:, FG #13a10e, on, BG #0c0c0c
Contrast 5.09:, FG #e74856, on, BG #0c0c0c
Contrast 4.95:, FG #3b78ff, on, BG #0c0c0c


,,,all
Contrast 17.47:, FG #f2f2f2, on, BG #0c0c0c
Contrast 17.47:, FG #0c0c0c, on, BG #f2f2f2
Contrast 16.91:, FG #f9f1a5, on, BG #0c0c0c
Contrast 16.91:, FG #0c0c0c, on, BG #f9f1a5
Contrast 12.18:, FG #cccccc, on, BG #0c0c0c
Contrast 12.18:, FG #0c0c0c, on, BG #cccccc
Contrast 11.27:, FG #61d6d6, on, BG #0c0c0c
Contrast 11.27:, FG #0c0c0c, on, BG #61d6d6
Contrast 8.49:, FG #16c60c, on, BG #0c0c0c
Contrast 8.49:, FG #0c0c0c, on, BG #16c60c
Contrast 7.47:, FG #c19c00, on, BG #0c0c0c
Contrast 7.47:, FG #0c0c0c, on, BG #c19c00
Contrast 7.33:, FG #f2f2f2, on, BG #0037da
Contrast 7.33:, FG #0037da, on, BG #f2f2f2
Contrast 7.15:, FG #f2f2f2, on, BG #881798
Contrast 7.15:, FG #881798, on, BG #f2f2f2
Contrast 7.09:, FG #f9f1a5, on, BG #0037da
Contrast 7.09:, FG #0037da, on, BG #f9f1a5
Contrast 6.92:, FG #f9f1a5, on, BG #881798
Contrast 6.92:, FG #881798, on, BG #f9f1a5
Contrast 6.14:, FG #3a96dd, on, BG #0c0c0c
Contrast 6.14:, FG #0c0c0c, on, BG #3a96dd
Contrast 5.71:, FG #13a10e, on, BG #0c0c0c
Contrast 5.71:, FG #0c0c0c, on, BG #13a10e
Contrast 5.46:, FG #f2f2f2, on, BG #b4009e
Contrast 5.46:, FG #b4009e, on, BG #f2f2f2
Contrast 5.42:, FG #f2f2f2, on, BG #c50f1f
Contrast 5.42:, FG #c50f1f, on, BG #f2f2f2
Contrast 5.29:, FG #f9f1a5, on, BG #b4009e
Contrast 5.29:, FG #b4009e, on, BG #f9f1a5
Contrast 5.24:, FG #f9f1a5, on, BG #c50f1f
Contrast 5.24:, FG #c50f1f, on, BG #f9f1a5
Contrast 5.11:, FG #cccccc, on, BG #0037da
Contrast 5.11:, FG #0037da, on, BG #cccccc
Contrast 5.09:, FG #e74856, on, BG #0c0c0c
Contrast 5.09:, FG #0c0c0c, on, BG #e74856
Contrast 4.99:, FG #cccccc, on, BG #881798
Contrast 4.99:, FG #881798, on, BG #cccccc
Contrast 4.95:, FG #3b78ff, on, BG #0c0c0c
Contrast 4.95:, FG #0c0c0c, on, BG #3b78ff
Contrast 4.73:, FG #61d6d6, on, BG #0037da
Contrast 4.73:, FG #0037da, on, BG #61d6d6
Contrast 4.61:, FG #881798, on, BG #61d6d6
Contrast 4.61:, FG #61d6d6, on, BG #881798
Contrast 4.31:, FG #767676, on, BG #0c0c0c
Contrast 4.31:, FG #0c0c0c, on, BG #767676
Contrast 4.06:, FG #f2f2f2, on, BG #767676
Contrast 4.06:, FG #767676, on, BG #f2f2f2
Contrast 3.93:, FG #f9f1a5, on, BG #767676
Contrast 3.93:, FG #767676, on, BG #f9f1a5
Contrast 3.81:, FG #cccccc, on, BG #b4009e
Contrast 3.81:, FG #b4009e, on, BG #cccccc
Contrast 3.78:, FG #cccccc, on, BG #c50f1f
Contrast 3.78:, FG #c50f1f, on, BG #cccccc
Contrast 3.56:, FG #16c60c, on, BG #0037da
Contrast 3.56:, FG #0037da, on, BG #16c60c
Contrast 3.53:, FG #f2f2f2, on, BG #3b78ff
Contrast 3.53:, FG #3b78ff, on, BG #f2f2f2
Contrast 3.52:, FG #b4009e, on, BG #61d6d6
Contrast 3.52:, FG #61d6d6, on, BG #b4009e
Contrast 3.49:, FG #c50f1f, on, BG #61d6d6
Contrast 3.49:, FG #61d6d6, on, BG #c50f1f
Contrast 3.48:, FG #881798, on, BG #16c60c
Contrast 3.48:, FG #16c60c, on, BG #881798
Contrast 3.44:, FG #f2f2f2, on, BG #e74856
Contrast 3.44:, FG #e74856, on, BG #f2f2f2
Contrast 3.41:, FG #f9f1a5, on, BG #3b78ff
Contrast 3.41:, FG #3b78ff, on, BG #f9f1a5
Contrast 3.33:, FG #f9f1a5, on, BG #e74856
Contrast 3.33:, FG #e74856, on, BG #f9f1a5
Contrast 3.23:, FG #c50f1f, on, BG #0c0c0c
Contrast 3.23:, FG #0c0c0c, on, BG #c50f1f
Contrast 3.20:, FG #b4009e, on, BG #0c0c0c
Contrast 3.20:, FG #0c0c0c, on, BG #b4009e
Contrast 3.14:, FG #c19c00, on, BG #0037da
Contrast 3.14:, FG #0037da, on, BG #c19c00
Contrast 3.06:, FG #f2f2f2, on, BG #13a10e
Contrast 3.06:, FG #c19c00, on, BG #881798
Contrast 3.06:, FG #881798, on, BG #c19c00
Contrast 3.06:, FG #13a10e, on, BG #f2f2f2
Contrast 2.96:, FG #f9f1a5, on, BG #13a10e
Contrast 2.96:, FG #13a10e, on, BG #f9f1a5
Contrast 2.85:, FG #f2f2f2, on, BG #3a96dd
Contrast 2.85:, FG #3a96dd, on, BG #f2f2f2
Contrast 2.83:, FG #cccccc, on, BG #767676
Contrast 2.83:, FG #767676, on, BG #cccccc
Contrast 2.76:, FG #f9f1a5, on, BG #3a96dd
Contrast 2.76:, FG #3a96dd, on, BG #f9f1a5
Contrast 2.65:, FG #b4009e, on, BG #16c60c
Contrast 2.65:, FG #16c60c, on, BG #b4009e
Contrast 2.63:, FG #c50f1f, on, BG #16c60c
Contrast 2.63:, FG #16c60c, on, BG #c50f1f
Contrast 2.62:, FG #767676, on, BG #61d6d6
Contrast 2.62:, FG #61d6d6, on, BG #767676
Contrast 2.57:, FG #3a96dd, on, BG #0037da
Contrast 2.57:, FG #0037da, on, BG #3a96dd
Contrast 2.51:, FG #881798, on, BG #3a96dd
Contrast 2.51:, FG #3a96dd, on, BG #881798
Contrast 2.46:, FG #cccccc, on, BG #3b78ff
Contrast 2.46:, FG #3b78ff, on, BG #cccccc
Contrast 2.44:, FG #881798, on, BG #0c0c0c
Contrast 2.44:, FG #0c0c0c, on, BG #881798
Contrast 2.40:, FG #e74856, on, BG #cccccc
Contrast 2.40:, FG #cccccc, on, BG #e74856
Contrast 2.40:, FG #13a10e, on, BG #0037da
Contrast 2.40:, FG #0037da, on, BG #13a10e
Contrast 2.38:, FG #0c0c0c, on, BG #0037da
Contrast 2.38:, FG #0037da, on, BG #0c0c0c
Contrast 2.34:, FG #f2f2f2, on, BG #c19c00
Contrast 2.34:, FG #c19c00, on, BG #f2f2f2
Contrast 2.34:, FG #c19c00, on, BG #b4009e
Contrast 2.34:, FG #b4009e, on, BG #c19c00
Contrast 2.34:, FG #881798, on, BG #13a10e
Contrast 2.34:, FG #13a10e, on, BG #881798
Contrast 2.32:, FG #c50f1f, on, BG #c19c00
Contrast 2.32:, FG #c19c00, on, BG #c50f1f
Contrast 2.28:, FG #61d6d6, on, BG #3b78ff
Contrast 2.28:, FG #3b78ff, on, BG #61d6d6
Contrast 2.26:, FG #f9f1a5, on, BG #c19c00
Contrast 2.26:, FG #c19c00, on, BG #f9f1a5
Contrast 2.22:, FG #e74856, on, BG #61d6d6
Contrast 2.22:, FG #61d6d6, on, BG #e74856
Contrast 2.13:, FG #e74856, on, BG #0037da
Contrast 2.13:, FG #cccccc, on, BG #13a10e
Contrast 2.13:, FG #13a10e, on, BG #cccccc
Contrast 2.13:, FG #0037da, on, BG #e74856
Contrast 2.08:, FG #e74856, on, BG #881798
Contrast 2.08:, FG #881798, on, BG #e74856
Contrast 2.08:, FG #3b78ff, on, BG #0037da
Contrast 2.08:, FG #0037da, on, BG #3b78ff
Contrast 2.06:, FG #f2f2f2, on, BG #16c60c
Contrast 2.06:, FG #16c60c, on, BG #f2f2f2
Contrast 2.03:, FG #881798, on, BG #3b78ff
Contrast 2.03:, FG #3b78ff, on, BG #881798
Contrast 1.99:, FG #f9f1a5, on, BG #16c60c
Contrast 1.99:, FG #cccccc, on, BG #3a96dd
Contrast 1.99:, FG #3a96dd, on, BG #cccccc
Contrast 1.99:, FG #16c60c, on, BG #f9f1a5
Contrast 1.97:, FG #767676, on, BG #16c60c
Contrast 1.97:, FG #61d6d6, on, BG #13a10e
Contrast 1.97:, FG #16c60c, on, BG #767676
Contrast 1.97:, FG #13a10e, on, BG #61d6d6
Contrast 1.92:, FG #b4009e, on, BG #3a96dd
Contrast 1.92:, FG #3a96dd, on, BG #b4009e
Contrast 1.90:, FG #c50f1f, on, BG #3a96dd
Contrast 1.90:, FG #3a96dd, on, BG #c50f1f
Contrast 1.84:, FG #61d6d6, on, BG #3a96dd
Contrast 1.84:, FG #3a96dd, on, BG #61d6d6
Contrast 1.81:, FG #767676, on, BG #0037da
Contrast 1.81:, FG #0037da, on, BG #767676
Contrast 1.79:, FG #b4009e, on, BG #13a10e
Contrast 1.79:, FG #13a10e, on, BG #b4009e
Contrast 1.77:, FG #c50f1f, on, BG #13a10e
Contrast 1.77:, FG #13a10e, on, BG #c50f1f
Contrast 1.76:, FG #881798, on, BG #767676
Contrast 1.76:, FG #767676, on, BG #881798
Contrast 1.74:, FG #c19c00, on, BG #767676
Contrast 1.74:, FG #767676, on, BG #c19c00
Contrast 1.71:, FG #3b78ff, on, BG #16c60c
Contrast 1.71:, FG #16c60c, on, BG #3b78ff
Contrast 1.67:, FG #e74856, on, BG #16c60c
Contrast 1.67:, FG #16c60c, on, BG #e74856
Contrast 1.63:, FG #cccccc, on, BG #c19c00
Contrast 1.63:, FG #c19c00, on, BG #cccccc
Contrast 1.59:, FG #e74856, on, BG #b4009e
Contrast 1.59:, FG #b4009e, on, BG #e74856
Contrast 1.58:, FG #e74856, on, BG #c50f1f
Contrast 1.58:, FG #c50f1f, on, BG #e74856
Contrast 1.55:, FG #f2f2f2, on, BG #61d6d6
Contrast 1.55:, FG #b4009e, on, BG #3b78ff
Contrast 1.55:, FG #61d6d6, on, BG #f2f2f2
Contrast 1.55:, FG #3b78ff, on, BG #b4009e
Contrast 1.54:, FG #c50f1f, on, BG #3b78ff
Contrast 1.54:, FG #3b78ff, on, BG #c50f1f
Contrast 1.51:, FG #c19c00, on, BG #61d6d6
Contrast 1.51:, FG #c19c00, on, BG #3b78ff
Contrast 1.51:, FG #61d6d6, on, BG #c19c00
Contrast 1.51:, FG #3b78ff, on, BG #c19c00
Contrast 1.50:, FG #f9f1a5, on, BG #61d6d6
Contrast 1.50:, FG #61d6d6, on, BG #f9f1a5
Contrast 1.49:, FG #16c60c, on, BG #13a10e
Contrast 1.49:, FG #13a10e, on, BG #16c60c
Contrast 1.47:, FG #e74856, on, BG #c19c00
Contrast 1.47:, FG #c19c00, on, BG #e74856
Contrast 1.43:, FG #f2f2f2, on, BG #cccccc
Contrast 1.43:, FG #cccccc, on, BG #f2f2f2
Contrast 1.43:, FG #cccccc, on, BG #16c60c
Contrast 1.43:, FG #16c60c, on, BG #cccccc
Contrast 1.42:, FG #767676, on, BG #3a96dd
Contrast 1.42:, FG #3a96dd, on, BG #767676
Contrast 1.39:, FG #f9f1a5, on, BG #cccccc
Contrast 1.39:, FG #cccccc, on, BG #f9f1a5
Contrast 1.38:, FG #3a96dd, on, BG #16c60c
Contrast 1.38:, FG #16c60c, on, BG #3a96dd
Contrast 1.35:, FG #c50f1f, on, BG #0037da
Contrast 1.35:, FG #b4009e, on, BG #767676
Contrast 1.35:, FG #767676, on, BG #b4009e
Contrast 1.35:, FG #0037da, on, BG #c50f1f
Contrast 1.34:, FG #c50f1f, on, BG #767676
Contrast 1.34:, FG #b4009e, on, BG #0037da
Contrast 1.34:, FG #767676, on, BG #c50f1f
Contrast 1.34:, FG #0037da, on, BG #b4009e
Contrast 1.33:, FG #767676, on, BG #13a10e
Contrast 1.33:, FG #61d6d6, on, BG #16c60c
Contrast 1.33:, FG #16c60c, on, BG #61d6d6
Contrast 1.33:, FG #13a10e, on, BG #767676
Contrast 1.32:, FG #c50f1f, on, BG #881798
Contrast 1.32:, FG #881798, on, BG #c50f1f
Contrast 1.31:, FG #c19c00, on, BG #13a10e
Contrast 1.31:, FG #b4009e, on, BG #881798
Contrast 1.31:, FG #881798, on, BG #b4009e
Contrast 1.31:, FG #13a10e, on, BG #c19c00
Contrast 1.24:, FG #3b78ff, on, BG #3a96dd
Contrast 1.24:, FG #3a96dd, on, BG #3b78ff
Contrast 1.22:, FG #c19c00, on, BG #3a96dd
Contrast 1.22:, FG #3a96dd, on, BG #c19c00
Contrast 1.21:, FG #e74856, on, BG #3a96dd
Contrast 1.21:, FG #3a96dd, on, BG #e74856
Contrast 1.18:, FG #e74856, on, BG #767676
Contrast 1.18:, FG #767676, on, BG #e74856
Contrast 1.15:, FG #767676, on, BG #3b78ff
Contrast 1.15:, FG #3b78ff, on, BG #767676
Contrast 1.15:, FG #3b78ff, on, BG #13a10e
Contrast 1.15:, FG #13a10e, on, BG #3b78ff
Contrast 1.14:, FG #c19c00, on, BG #16c60c
Contrast 1.14:, FG #16c60c, on, BG #c19c00
Contrast 1.12:, FG #e74856, on, BG #13a10e
Contrast 1.12:, FG #13a10e, on, BG #e74856
Contrast 1.08:, FG #cccccc, on, BG #61d6d6
Contrast 1.08:, FG #61d6d6, on, BG #cccccc
Contrast 1.07:, FG #3a96dd, on, BG #13a10e
Contrast 1.07:, FG #13a10e, on, BG #3a96dd
Contrast 1.03:, FG #f9f1a5, on, BG #f2f2f2
Contrast 1.03:, FG #f2f2f2, on, BG #f9f1a5
Contrast 1.03:, FG #e74856, on, BG #3b78ff
Contrast 1.03:, FG #3b78ff, on, BG #e74856
Contrast 1.02:, FG #881798, on, BG #0037da
Contrast 1.02:, FG #0037da, on, BG #881798
Contrast 1.01:, FG #c50f1f, on, BG #b4009e
Contrast 1.01:, FG #b4009e, on, BG #c50f1f